Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nemanja Bjelica,PF,31,SAC,25,24,658,112,236,.475,48,110,.436,64,126,.508,.576,19,21,.905,46,117,163,69,24,14,41,74,291
Eric Bledsoe,PG,30,MIL,26,26,693,147,308,.477,32,93,.344,115,215,.535,.529,65,80,.813,21,107,128,147,22,12,60,60,391
Bogdan Bogdanović,SG,27,SAC,23,0,634,117,283,.413,61,158,.386,56,125,.448,.521,34,50,.680,6,57,63,90,27,2,43,44,329
Bojan Bogdanović,SF,30,UTA,25,25,832,172,383,.449,82,180,.456,90,203,.443,.556,93,106,.877,16,93,109,50,17,4,72,47,519
Isaac Bonga,SF,20,WAS,18,12,279,25,52,.481,4,15,.267,21,37,.568,.519,10,13,.769,12,32,44,24,12,4,10,38,64
Devin Booker,SG,23,PHO,24,24,861,213,420,.507,54,133,.406,159,287,.554,.571,121,134,.903,15,79,94,154,15,8,91,72,601
Chris Boucher,PF,27,TOR,21,0,249,41,91,.451,11,34,.324,30,57,.526,.511,20,29,.690,41,47,88,10,7,15,8,28,113
Brian Bowen,SG,21,IND,3,0,10,1,4,.250,0,1,.000,1,3,.333,.250,0,0,0,0,1,1,0,0,1,0,0,2
Ky Bowman,PG,22,GSW,26,6,596,88,194,.454,27,65,.415,61,129,.473,.523,20,22,.909,13,56,69,70,23,3,31,55,223
Avery Bradley,SG,29,LAL,12,10,310,47,97,.485,8,32,.250,39,65,.600,.526,6,8,.750,8,29,37,18,10,1,12,31,108
Tony Bradley,C,22,UTA,18,2,164,33,54,.611,0,0,NA,33,54,.611,.611,11,16,.688,25,38,63,5,2,8,8,28,77
Jarrell Brantley,PF,23,UTA,2,0,9,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,4,4,1,0,2,1,1,0
Ignas Brazdeikis,SF,21,NYK,7,0,47,5,20,.250,1,8,.125,4,12,.333,.275,3,4,.750,2,3,5,2,0,1,2,3,14
Mikal Bridges,SF,23,PHO,24,0,506,62,124,.500,12,40,.300,50,84,.595,.548,34,44,.773,21,67,88,26,32,8,20,44,170
Miles Bridges,SF,21,CHO,28,28,874,138,315,.438,48,126,.381,90,189,.476,.514,38,50,.760,37,112,149,50,14,22,47,59,362
Oshae Brissett,SF,21,TOR,4,0,17,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,NA,0,1,1,1,1,0,1,0,3
Ryan Broekhoff,SG,29,DAL,5,0,27,4,8,.500,4,5,.800,0,3,.000,.750,0,0,NA,0,6,6,3,1,0,2,1,12
Malcolm Brogdon,PG,27,IND,22,22,696,152,320,.475,33,93,.355,119,227,.524,.527,92,99,.929,14,89,103,169,21,4,62,45,429
Dillon Brooks,SG,24,MEM,25,25,694,127,316,.402,44,119,.370,83,197,.421,.472,53,65,.815,25,60,85,49,27,9,35,93,351
Bruce Brown,SG,23,DET,25,21,655,73,173,.422,13,40,.325,60,133,.451,.460,25,43,.581,23,82,105,90,24,12,43,67,184
Charlie Brown,SG,22,ATL,4,0,16,1,3,.333,1,1,1.000,0,2,.000,.500,4,4,1.000,2,1,3,0,0,1,0,0,7
Jaylen Brown,SF,23,BOS,21,21,709,154,308,.500,40,107,.374,114,201,.567,.565,58,79,.734,21,124,145,47,23,7,38,71,406
Sterling Brown,SF,24,MIL,18,0,302,37,88,.420,19,46,.413,18,42,.429,.528,12,17,.706,13,72,85,25,12,2,17,23,105
Troy Brown,SG,20,WAS,20,11,442,60,133,.451,9,36,.250,51,97,.526,.485,19,25,.760,27,77,104,44,28,3,20,30,148
Jalen Brunson,PG,23,DAL,24,3,375,71,143,.497,15,46,.326,56,97,.577,.549,22,31,.710,13,42,55,63,11,0,21,28,179
Thomas Bryant,C,22,WAS,18,18,511,101,184,.549,10,35,.286,91,149,.611,.576,39,53,.736,42,111,153,48,8,18,24,44,251
Trey Burke,PG,27,PHI,9,0,152,25,58,.431,6,16,.375,19,42,.452,.483,8,11,.727,6,7,13,31,7,1,4,7,64
Alec Burks,SG,28,GSW,24,11,706,126,292,.432,35,98,.357,91,194,.469,.491,87,97,.897,18,91,109,70,26,6,35,54,374
Deonte Burton,SG,26,OKC,12,0,101,13,33,.394,5,17,.294,8,16,.500,.470,3,4,.750,3,18,21,4,1,1,4,11,34
Jimmy Butler,SF,30,MIA,21,21,739,128,295,.434,21,74,.284,107,221,.484,.469,158,191,.827,41,99,140,142,46,15,54,28,435
Bruno Caboclo,SF,24,MEM,16,0,174,27,62,.435,4,21,.190,23,41,.561,.468,2,3,.667,16,23,39,8,9,12,7,21,60
Kentavious Caldwell-Pope,SG,26,LAL,26,16,638,83,179,.464,32,81,.395,51,98,.520,.553,23,29,.793,14,40,54,46,21,4,24,44,221
DeMarre Carroll,SF,33,SAS,11,0,120,7,25,.280,3,12,.250,4,13,.308,.340,10,14,.714,7,22,29,10,2,2,9,17,27
Jevon Carter,PG,24,PHO,16,2,225,22,55,.400,14,34,.412,8,21,.381,.527,4,4,1.000,3,24,27,28,13,5,15,24,62
Vince Carter,SF,43,ATL,21,0,326,43,119,.361,23,80,.288,20,39,.513,.458,7,10,.700,4,37,41,20,7,6,14,34,116
Wendell Carter,C,20,CHI,27,27,795,124,220,.564,2,16,.125,122,204,.598,.568,72,101,.713,94,173,267,27,21,20,39,109,322
Michael Carter-Williams,SG,28,ORL,15,0,240,23,72,.319,5,24,.208,18,48,.375,.354,22,31,.710,17,32,49,30,13,8,16,22,73
Alex Caruso,PG,25,LAL,24,0,493,51,113,.451,18,49,.367,33,64,.516,.531,14,22,.636,4,48,52,43,25,7,26,37,134
Marquese Chriss,PF,22,GSW,26,1,472,69,144,.479,4,20,.200,65,124,.524,.493,51,63,.810,42,93,135,53,19,27,37,53,193
Gary Clark,PF,25,HOU,10,0,118,15,36,.417,11,30,.367,4,6,.667,.569,3,3,1.000,6,18,24,6,1,4,1,9,44
Brandon Clarke,PF,23,MEM,19,2,403,97,152,.638,12,24,.500,85,128,.664,.678,22,28,.786,24,89,113,23,9,19,20,33,228
Jordan Clarkson,SG,27,CLE,25,0,570,121,284,.426,48,138,.348,73,146,.500,.511,68,76,.895,18,41,59,63,14,7,36,30,358
Nicolas Claxton,PF,20,BRK,9,0,119,11,21,.524,0,5,.000,11,16,.688,.524,5,12,.417,8,14,22,11,1,5,6,10,27
Chris Clemons,SG,22,HOU,18,0,146,27,65,.415,19,51,.373,8,14,.571,.562,3,4,.750,2,8,10,6,3,2,6,14,76
John Collins,PF,22,ATL,5,5,161,32,61,.525,9,19,.474,23,42,.548,.598,12,17,.706,10,34,44,8,5,10,7,17,85
Zach Collins,PF,22,POR,3,3,86,9,19,.474,3,7,.429,6,12,.500,.553,6,6,1.000,4,8,12,6,0,2,6,11,27
Mike Conley,PG,32,UTA,21,21,628,97,263,.369,40,107,.374,57,156,.365,.445,58,73,.795,16,57,73,96,15,4,44,45,292
Pat Connaughton,SG,27,MIL,24,0,415,48,98,.490,18,55,.327,30,43,.698,.582,13,17,.765,11,83,94,44,8,11,15,24,127
Quinn Cook,PG,26,LAL,20,0,267,42,98,.429,12,35,.343,30,63,.476,.490,4,5,.800,4,19,23,30,6,1,16,12,100
Robert Covington,PF,29,MIN,24,24,674,101,226,.447,50,140,.357,51,86,.593,.558,47,53,.887,17,110,127,26,34,20,38,75,299
Allen Crabbe,SG,27,ATL,14,1,280,31,77,.403,15,48,.313,16,29,.552,.500,7,9,.778,7,28,35,14,8,3,6,14,84
Torrey Craig,SF,29,DEN,16,2,214,18,48,.375,5,22,.227,13,26,.500,.427,4,9,.444,11,26,37,15,5,12,6,28,45
Jae Crowder,SF,29,MEM,25,25,778,87,229,.380,53,163,.325,34,66,.515,.496,43,57,.754,17,138,155,71,25,9,37,53,270
Jarrett Culver,SG,20,MIN,25,15,582,85,229,.371,23,92,.250,62,137,.453,.421,23,53,.434,27,56,83,55,21,12,31,51,216
Seth Curry,SG,29,DAL,22,9,478,67,145,.462,37,90,.411,30,55,.545,.590,31,34,.912,11,36,47,38,14,4,19,40,202
Stephen Curry,PG,31,GSW,4,4,112,27,66,.409,9,37,.243,18,29,.621,.477,18,18,1.000,4,16,20,26,5,2,15,10,81
Troy Daniels,SG,28,LAL,20,0,278,34,92,.370,24,69,.348,10,23,.435,.500,4,7,.571,4,24,28,7,7,1,6,14,96
Anthony Davis,PF,26,LAL,25,25,866,239,478,.500,30,88,.341,209,390,.536,.531,177,205,.863,61,169,230,82,37,66,55,58,685
Terence Davis,SG,22,TOR,24,0,375,58,121,.479,27,65,.415,31,56,.554,.591,16,17,.941,14,56,70,44,11,6,20,43,159
Dewayne Dedmon,C,30,SAC,21,4,305,42,103,.408,11,48,.229,31,55,.564,.461,11,13,.846,26,59,85,8,9,11,31,55,106
Matthew Dellavedova,PG,29,CLE,23,0,306,19,68,.279,4,39,.103,15,29,.517,.309,15,16,.938,7,25,32,53,9,1,16,35,57
DeMar DeRozan,SF,30,SAS,24,24,826,197,389,.506,5,14,.357,192,375,.512,.513,114,142,.803,13,121,134,115,24,11,60,69,513
Cheick Diallo,C,23,PHO,17,0,174,41,59,.695,1,1,1.000,40,58,.690,.703,15,17,.882,14,38,52,9,2,4,8,20,98
Hamidou Diallo,SF,21,OKC,12,1,256,46,92,.500,2,13,.154,44,79,.557,.511,11,18,.611,14,32,46,10,18,4,14,29,105
Gorgui Dieng,C,30,MIN,21,2,260,36,86,.419,9,30,.300,27,56,.482,.471,12,16,.750,17,66,83,21,14,21,14,31,93
Spencer Dinwiddie,SG,26,BRK,24,13,716,164,382,.429,45,147,.306,119,235,.506,.488,125,149,.839,5,67,72,148,21,11,65,83,498
Donte DiVincenzo,SG,23,MIL,23,10,484,72,168,.429,29,83,.349,43,85,.506,.515,22,28,.786,18,75,93,38,33,3,27,37,195
Luka Dončić,PG,20,DAL,24,24,803,236,490,.482,76,232,.328,160,258,.620,.559,182,227,.802,32,206,238,222,30,3,108,57,730
Luguentz Dort,SG,20,OKC,4,0,69,5,15,.333,0,8,.000,5,7,.714,.333,3,5,.600,0,6,6,1,2,0,2,12,13
Damyean Dotson,SG,25,NYK,22,0,353,51,124,.411,24,75,.320,27,49,.551,.508,10,14,.714,4,35,39,25,10,4,11,20,136
Sekou Doumbouya,SF,19,DET,4,0,11,3,6,.500,0,1,.000,3,5,.600,.500,0,1,.000,0,2,2,0,0,0,0,3,6
Goran Dragić,PG,33,MIA,18,1,517,97,208,.466,39,96,.406,58,112,.518,.560,54,76,.711,6,52,58,90,12,4,47,32,287
Andre Drummond,C,26,DET,25,25,845,185,339,.546,0,13,.000,185,326,.567,.546,72,114,.632,115,301,416,73,43,46,89,96,442
Jared Dudley,SF,34,LAL,17,0,138,9,21,.429,9,15,.600,0,6,.000,.643,2,2,1.000,2,14,16,12,7,1,2,13,29
Kris Dunn,PG,25,CHI,27,8,589,77,186,.414,11,60,.183,66,126,.524,.444,15,21,.714,14,72,86,78,52,9,28,94,180
Carsen Edwards,SG,21,BOS,21,0,236,27,84,.321,17,51,.333,10,33,.303,.423,11,13,.846,5,31,36,17,7,2,12,22,82
Henry Ellenson,PF,23,BRK,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Ellington,SG,32,NYK,18,1,257,26,81,.321,21,69,.304,5,12,.417,.451,4,6,.667,1,28,29,16,5,2,12,20,77
Joel Embiid,C,25,PHI,22,22,675,159,345,.461,24,76,.316,135,269,.502,.496,159,196,.811,53,218,271,73,20,29,72,77,501
James Ennis,SF,29,PHI,27,0,471,68,136,.500,25,60,.417,43,76,.566,.592,36,47,.766,29,60,89,25,14,8,18,55,197
Derrick Favors,C,28,NOP,10,8,204,40,68,.588,1,2,.500,39,66,.591,.596,2,7,.286,34,54,88,19,5,4,14,22,83
Terrance Ferguson,SF,21,OKC,19,19,497,39,92,.424,23,65,.354,16,27,.593,.549,7,9,.778,11,25,36,19,10,6,14,57,108
Bruno Fernando,C,21,ATL,25,0,296,41,77,.532,4,16,.250,37,61,.607,.558,16,25,.640,28,45,73,27,6,9,23,39,102
Yogi Ferrell,PG,26,SAC,21,0,291,43,96,.448,9,33,.273,34,63,.540,.495,27,31,.871,4,23,27,37,10,1,14,17,122
Dorian Finney-Smith,PF,26,DAL,24,21,649,75,160,.469,30,89,.337,45,71,.634,.563,24,34,.706,45,76,121,28,14,10,24,44,204
Bryn Forbes,SG,26,SAS,24,24,636,106,257,.412,55,155,.355,51,102,.500,.519,31,37,.838,7,52,59,47,12,0,17,46,298
Evan Fournier,SG,27,ORL,25,25,766,176,364,.484,73,163,.448,103,201,.512,.584,80,96,.833,4,68,72,80,24,4,51,57,505
De'Aaron Fox,PG,22,SAC,9,9,288,55,128,.430,10,30,.333,45,98,.459,.469,44,62,.710,5,31,36,63,7,5,37,27,164
Danilo Gallinari,PF,31,OKC,23,23,702,128,289,.443,63,158,.399,65,131,.496,.552,97,107,.907,12,122,134,49,16,3,34,36,416
Langston Galloway,SG,28,DET,25,6,682,96,216,.444,61,143,.427,35,73,.479,.586,47,52,.904,9,44,53,38,14,8,19,30,300
Darius Garland,PG,20,CLE,25,25,695,102,269,.379,42,115,.365,60,154,.390,.457,23,27,.852,10,36,46,71,16,0,64,34,269
Marc Gasol,C,35,TOR,24,24,693,53,152,.349,28,79,.354,25,73,.342,.441,19,26,.731,21,137,158,87,18,28,33,81,153
Rudy Gay,PF,33,SAS,24,5,554,100,218,.459,21,76,.276,79,142,.556,.507,48,54,.889,31,106,137,46,12,14,40,34,269
Paul George,SF,29,LAC,16,16,489,128,287,.446,65,163,.399,63,124,.508,.559,73,80,.913,8,91,99,60,23,7,56,43,394
Taj Gibson,C,34,NYK,24,18,397,52,104,.500,2,10,.200,50,94,.532,.510,9,15,.600,44,64,108,30,16,8,17,53,115
Aaron Gordon,PF,24,ORL,22,22,690,114,262,.435,28,88,.318,86,174,.494,.489,52,72,.722,39,117,156,65,15,11,32,46,308
Eric Gordon,SG,31,HOU,9,2,265,34,110,.309,21,74,.284,13,36,.361,.405,9,14,.643,3,14,17,7,5,2,12,21,98
Devonte' Graham,PG,24,CHO,28,18,950,178,433,.411,105,249,.422,73,184,.397,.532,95,116,.819,29,76,105,212,22,6,87,51,556
Treveon Graham,SG,26,MIN,24,17,497,47,139,.338,13,64,.203,34,75,.453,.385,19,24,.792,23,54,77,24,14,2,14,50,126
Jerami Grant,PF,25,DEN,23,0,514,82,181,.453,32,81,.395,50,100,.500,.541,26,46,.565,11,68,79,24,11,14,18,42,222
Danny Green,SG,32,LAL,26,26,664,77,182,.423,49,130,.377,28,52,.538,.558,11,14,.786,17,81,98,33,32,14,25,60,214
Draymond Green,PF,29,GSW,17,17,490,56,137,.409,12,45,.267,44,92,.478,.453,31,43,.721,7,98,105,101,29,11,39,44,155
JaMychal Green,PF,29,LAC,22,0,469,55,133,.414,34,90,.378,21,43,.488,.541,18,21,.857,29,116,145,10,13,7,20,54,162
Javonte Green,SF,26,BOS,18,0,120,21,35,.600,3,10,.300,18,25,.720,.643,2,5,.400,3,14,17,4,4,3,3,12,47
Jeff Green,PF,33,UTA,26,2,490,67,172,.390,33,97,.340,34,75,.453,.485,47,58,.810,10,58,68,16,10,10,27,45,214
Blake Griffin,PF,30,DET,13,13,382,72,189,.381,23,81,.284,49,108,.454,.442,61,79,.772,12,50,62,44,5,4,33,19,228
Marko Guduric,SG,24,MEM,25,0,365,46,122,.377,18,62,.290,28,60,.467,.451,13,15,.867,12,38,50,34,9,5,27,24,123
Rui Hachimura,PF,21,WAS,23,23,684,139,289,.481,9,45,.200,130,244,.533,.497,44,51,.863,38,101,139,40,18,3,19,54,331
Devon Hall,SG,24,OKC,5,0,20,1,5,.200,0,2,.000,1,3,.333,.200,3,4,.750,0,1,1,3,0,0,1,1,5
Tim Hardaway,SG,27,DAL,24,11,596,104,244,.426,56,152,.368,48,92,.522,.541,41,50,.820,7,47,54,41,14,3,14,46,305
James Harden,SG,30,HOU,25,25,945,277,617,.449,127,350,.363,150,267,.562,.552,301,341,.883,24,123,147,187,50,18,126,83,982
Maurice Harkless,SF,26,LAC,27,17,640,64,131,.489,16,46,.348,48,85,.565,.550,17,30,.567,27,73,100,29,29,19,26,80,161
Montrezl Harrell,C,26,LAC,27,2,793,208,353,.589,0,10,.000,208,343,.606,.589,89,141,.631,77,129,206,55,19,32,47,66,505
Gary Harris,SG,25,DEN,23,23,738,94,224,.420,36,98,.367,58,126,.460,.500,27,34,.794,12,56,68,46,26,7,22,50,251
Joe Harris,SF,28,BRK,24,24,757,130,272,.478,67,153,.438,63,119,.529,.601,22,27,.815,22,71,93,50,17,8,33,61,349
Tobias Harris,PF,27,PHI,27,27,926,211,430,.491,38,117,.325,173,313,.553,.535,75,94,.798,20,168,188,88,24,22,51,70,535
Shaquille Harrison,SF,26,CHI,16,4,141,20,49,.408,3,10,.300,17,39,.436,.439,11,18,.611,6,24,30,22,8,4,6,16,54
Josh Hart,SF,24,NOP,19,4,520,70,167,.419,42,115,.365,28,52,.538,.545,28,36,.778,19,94,113,29,20,7,24,56,210
Isaiah Hartenstein,C,21,HOU,9,0,103,11,16,.688,0,1,.000,11,15,.733,.688,9,11,.818,8,18,26,5,3,4,6,17,31
Jaxson Hayes,C,19,NOP,23,10,484,79,127,.622,0,3,.000,79,124,.637,.622,51,79,.646,43,63,106,16,19,24,19,71,209
Gordon Hayward,SF,29,BOS,11,11,337,80,144,.556,15,38,.395,65,106,.613,.608,18,23,.783,8,59,67,45,8,3,20,20,193
John Henson,PF,29,CLE,7,0,84,15,26,.577,0,5,.000,15,21,.714,.577,3,11,.273,6,9,15,8,5,7,7,11,33
Dewan Hernandez,C,23,TOR,3,0,9,1,5,.200,0,1,.000,1,4,.250,.200,2,2,1.000,2,5,7,0,1,0,1,5,4
Juan Hernangómez,PF,24,DEN,15,0,210,21,57,.368,12,37,.324,9,20,.450,.474,5,9,.556,8,28,36,11,1,3,9,14,59
Willy Hernangómez,C,25,CHO,8,0,60,9,22,.409,2,6,.333,7,16,.438,.455,4,8,.500,9,12,21,2,1,3,5,4,24
Tyler Herro,SG,20,MIA,24,3,683,120,279,.430,48,130,.369,72,149,.483,.516,39,47,.830,6,86,92,46,18,3,47,32,327
Mario Hezonja,PF,24,POR,23,4,398,35,98,.357,10,31,.323,25,67,.373,.408,22,27,.815,16,88,104,22,13,2,20,51,102
Buddy Hield,SG,27,SAC,25,25,862,202,470,.430,100,266,.376,102,204,.500,.536,46,54,.852,26,103,129,71,20,9,64,66,550
George Hill,PG,33,MIL,24,0,513,79,145,.545,37,69,.536,42,76,.553,.672,34,40,.850,25,48,73,77,20,2,19,40,229
Solomon Hill,SF,28,MEM,23,1,473,51,128,.398,26,72,.361,25,56,.446,.500,11,18,.611,14,61,75,44,25,2,21,38,139
Aaron Holiday,PG,23,IND,24,9,511,86,207,.415,35,89,.393,51,118,.432,.500,15,18,.833,9,51,60,62,21,2,30,35,222
Jrue Holiday,SG,29,NOP,24,24,861,185,414,.447,41,126,.325,144,288,.500,.496,46,68,.676,31,91,122,162,43,18,81,58,457
Justin Holiday,SG,30,IND,26,2,657,71,173,.410,41,106,.387,30,67,.448,.529,19,23,.826,13,88,101,39,28,16,16,45,202
Rondae Hollis-Jefferson,SF,25,TOR,17,0,344,58,108,.537,1,5,.200,57,103,.553,.542,28,39,.718,43,50,93,24,13,6,22,32,145
Danuel House,SF,26,HOU,19,17,567,69,154,.448,43,106,.406,26,48,.542,.588,32,39,.821,21,56,77,26,20,12,18,41,213
Dwight Howard,C,34,LAL,26,0,516,69,96,.719,1,3,.333,68,93,.731,.724,35,69,.507,56,127,183,19,10,34,29,93,174
Kevin Huerter,SG,21,ATL,15,7,345,43,107,.402,24,67,.358,19,40,.475,.514,15,19,.789,7,41,48,50,11,6,22,29,125
De'Andre Hunter,SF,22,ATL,25,24,794,114,281,.406,44,124,.355,70,157,.446,.484,49,64,.766,13,86,99,47,16,7,40,63,321
Chandler Hutchison,SF,23,CHI,9,6,154,20,44,.455,5,12,.417,15,32,.469,.511,19,29,.655,1,32,33,8,5,2,12,12,64
Serge Ibaka,C,30,TOR,14,0,309,65,150,.433,12,35,.343,53,115,.461,.473,29,35,.829,24,72,96,18,6,13,29,35,171
Ersan İlyasova,PF,32,MIL,23,1,374,66,129,.512,19,57,.333,47,72,.653,.585,27,33,.818,30,83,113,16,11,7,6,39,178
Joe Ingles,SF,32,UTA,26,6,737,74,187,.396,39,117,.333,35,70,.500,.500,28,36,.778,7,99,106,110,26,2,46,63,215
Brandon Ingram,PF,22,NOP,22,22,740,198,401,.494,50,123,.407,148,278,.532,.556,109,129,.845,17,138,155,80,16,18,63,70,555
Kyrie Irving,PG,27,BRK,11,11,372,112,252,.444,31,91,.341,81,161,.503,.506,59,63,.937,10,49,59,79,12,6,26,32,314
Jonathan Isaac,SF,22,ORL,23,23,710,111,246,.451,26,78,.333,85,168,.506,.504,40,49,.816,39,125,164,31,28,63,36,55,288
Wesley Iwundu,SF,25,ORL,13,3,182,14,44,.318,1,12,.083,13,32,.406,.330,15,18,.833,5,22,27,11,7,3,6,10,44
Frank Jackson,PG,21,NOP,22,1,321,52,140,.371,20,65,.308,32,75,.427,.443,26,32,.813,5,25,30,22,9,1,21,33,150
