Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,26,OKC,18,18,485,86,139,.619,0,1,.000,86,138,.623,.619,27,53,.509,54,110,164,50,10,21,26,36,199
Bam Adebayo,C,22,MIA,22,22,720,117,205,.571,1,6,.167,116,199,.583,.573,80,123,.650,53,176,229,88,29,27,61,55,315
LaMarcus Aldridge,C,34,SAS,21,21,691,161,314,.513,12,33,.364,149,281,.530,.532,62,74,.838,44,103,147,51,13,37,34,46,396
Nickeil Alexander-Walker,SG,21,NOP,19,0,274,45,139,.324,23,73,.315,22,66,.333,.406,11,16,.688,4,41,45,39,7,2,23,26,124
Grayson Allen,SG,24,MEM,12,0,234,32,84,.381,12,39,.308,20,45,.444,.452,15,17,.882,2,34,36,19,5,0,13,21,91
Jarrett Allen,C,21,BRK,22,19,580,105,156,.673,0,1,.000,105,155,.677,.673,55,92,.598,79,153,232,25,17,30,26,57,265
Kadeem Allen,SG,27,NYK,1,0,16,3,6,.500,3,4,.750,0,2,.000,.750,0,0,NA,0,0,0,2,1,0,1,1,9
Al-Farouq Aminu,PF,29,ORL,18,2,380,25,86,.291,9,36,.250,16,50,.320,.343,19,29,.655,24,63,87,21,18,8,17,27,78
Kyle Anderson,PF,26,MEM,17,0,348,47,93,.505,4,16,.250,43,77,.558,.527,16,28,.571,16,59,75,44,12,12,15,29,114
Ryan Anderson,PF,31,HOU,2,0,14,2,7,.286,1,5,.200,1,2,.500,.357,0,0,NA,0,7,7,2,1,0,1,1,5
Giannis Antetokounmpo,PF,25,MIL,23,23,723,263,466,.564,36,114,.316,227,352,.645,.603,147,248,.593,61,241,302,125,30,30,89,74,709
Kostas Antetokounmpo,PF,22,LAL,2,0,3,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,1,1,0,0,0,0,0,0
Thanasis Antetokounmpo,SF,27,MIL,4,0,25,6,10,.600,0,0,NA,6,10,.600,.600,2,4,.500,3,0,3,4,0,0,2,3,14
Carmelo Anthony,PF,35,POR,9,9,282,56,129,.434,13,34,.382,43,95,.453,.484,25,29,.862,9,41,50,15,8,2,19,30,150
OG Anunoby,SF,22,TOR,20,20,586,86,165,.521,32,75,.427,54,90,.600,.618,13,25,.520,18,90,108,36,24,17,23,49,217
Ryan Arcidiacono,PG,25,CHI,23,0,383,32,84,.381,22,53,.415,10,31,.323,.512,15,20,.750,13,27,40,40,12,2,17,47,101
Trevor Ariza,SF,34,SAC,14,0,304,22,61,.361,17,47,.362,5,14,.357,.500,7,9,.778,6,45,51,12,13,2,11,21,68
D.J. Augustin,PG,32,ORL,22,5,565,69,183,.377,23,74,.311,46,109,.422,.440,50,57,.877,11,44,55,104,16,0,32,24,211
Deandre Ayton,C,21,PHO,1,1,33,9,14,.643,0,0,NA,9,14,.643,.643,0,0,NA,3,8,11,0,1,4,0,2,18
Dwayne Bacon,SG,24,CHO,18,10,358,47,147,.320,10,42,.238,37,105,.352,.354,19,28,.679,8,39,47,21,14,2,19,31,123
Marvin Bagley,PF,20,SAC,1,1,28,6,16,.375,0,0,NA,6,16,.375,.375,2,4,.500,4,6,10,0,1,1,1,1,14
Lonzo Ball,PG,22,NOP,15,12,431,60,160,.375,34,100,.340,26,60,.433,.481,10,14,.714,12,53,65,86,17,6,41,30,164
Mo Bamba,C,21,ORL,20,0,312,44,105,.419,15,39,.385,29,66,.439,.490,5,10,.500,27,80,107,9,6,28,26,44,108
J.J. Barea,PG,35,DAL,5,0,66,18,39,.462,10,15,.667,8,24,.333,.590,2,2,1.000,1,8,9,12,2,1,4,2,48
Harrison Barnes,PF,27,SAC,21,21,745,118,246,.480,29,78,.372,89,168,.530,.539,81,101,.802,23,84,107,46,19,4,31,27,346
RJ Barrett,SG,19,NYK,22,22,707,117,296,.395,22,71,.310,95,225,.422,.432,59,111,.532,26,91,117,72,30,11,54,55,315
Will Barton,SF,29,DEN,18,18,583,98,219,.447,34,84,.405,64,135,.474,.525,30,41,.732,29,92,121,60,17,7,24,40,260
Keita Bates-Diop,SF,24,MIN,10,0,190,30,58,.517,15,32,.469,15,26,.577,.647,5,8,.625,5,22,27,4,4,4,5,11,80
Nicolas Batum,SF,31,CHO,13,0,293,16,44,.364,9,33,.273,7,11,.636,.466,5,5,1.000,15,42,57,42,11,7,19,22,46
Aron Baynes,C,33,PHO,13,12,312,71,126,.563,25,57,.439,46,69,.667,.663,24,34,.706,19,55,74,38,4,9,14,51,191
Kent Bazemore,SF,30,POR,23,2,516,59,169,.349,28,81,.346,31,88,.352,.432,34,43,.791,9,89,98,38,21,17,33,68,180
Darius Bazley,PF,19,OKC,21,0,352,32,77,.416,14,38,.368,18,39,.462,.506,9,16,.563,7,67,74,12,7,9,16,19,87
Bradley Beal,SG,26,WAS,21,21,777,207,450,.460,57,164,.348,150,286,.524,.523,124,150,.827,22,76,98,148,21,5,74,55,595
Malik Beasley,SG,23,DEN,16,0,255,40,105,.381,21,50,.420,19,55,.345,.481,6,7,.857,4,17,21,16,8,2,16,18,107
Marco Belinelli,SG,33,SAS,21,0,340,39,124,.315,21,63,.333,18,61,.295,.399,15,21,.714,1,34,35,32,5,0,9,17,114
Jordan Bell,C,25,MIN,11,0,100,16,28,.571,0,4,.000,16,24,.667,.571,11,19,.579,11,27,38,8,0,4,13,9,43
DeAndre' Bembry,SG,25,ATL,22,4,580,69,142,.486,9,35,.257,60,107,.561,.518,18,37,.486,24,79,103,63,33,11,34,50,165
Dragan Bender,SF,22,MIL,3,0,29,6,8,.750,2,4,.500,4,4,1.000,.875,1,1,1.000,0,2,2,3,0,2,1,6,15
Dāvis Bertāns,PF,27,WAS,21,1,607,102,222,.459,78,174,.448,24,48,.500,.635,21,24,.875,19,77,96,33,13,13,14,52,303
Patrick Beverley,PG,31,LAC,21,21,624,57,152,.375,27,91,.297,30,61,.492,.464,14,23,.609,30,98,128,66,31,12,31,80,155
Khem Birch,C,27,ORL,13,8,291,22,44,.500,0,1,.000,22,43,.512,.500,13,26,.500,29,46,75,14,7,9,9,35,57
Goga Bitadze,C,20,IND,17,2,216,26,57,.456,4,14,.286,22,43,.512,.491,14,19,.737,16,36,52,14,1,19,10,33,70
Bismack Biyombo,C,27,CHO,22,7,366,63,110,.573,0,0,NA,63,110,.573,.573,36,65,.554,35,60,95,19,6,17,14,43,162
Nemanja Bjelica,PF,31,SAC,21,20,545,86,187,.460,36,87,.414,50,100,.500,.556,14,15,.933,43,101,144,54,20,12,37,63,222
Eric Bledsoe,PG,30,MIL,23,23,618,131,280,.468,27,84,.321,104,196,.531,.516,55,70,.786,20,93,113,129,19,10,51,56,344
Bogdan Bogdanović,SG,27,SAC,19,0,517,97,241,.402,51,136,.375,46,105,.438,.508,30,42,.714,4,49,53,85,26,2,35,34,275
Bojan Bogdanović,SF,30,UTA,22,22,729,156,334,.467,69,152,.454,87,182,.478,.570,79,89,.888,16,81,97,46,16,4,61,43,460
Jonah Bolden,PF,24,PHI,2,0,5,1,1,1.000,0,0,NA,1,1,1.000,1.000,0,2,.000,0,0,0,0,1,0,1,0,2
Jordan Bone,PG,22,DET,3,0,6,2,5,.400,0,1,.000,2,4,.500,.400,0,0,NA,0,0,0,0,0,0,2,2,4
Isaac Bonga,SF,20,WAS,16,10,251,25,46,.543,4,11,.364,21,35,.600,.587,10,13,.769,11,32,43,22,11,3,9,33,64
Devin Booker,SG,23,PHO,22,22,786,196,383,.512,51,123,.415,145,260,.558,.578,117,128,.914,13,72,85,137,14,7,87,70,560
Chris Boucher,PF,27,TOR,18,0,222,36,81,.444,8,28,.286,28,53,.528,.494,20,29,.690,38,42,80,10,7,15,7,26,100
Brian Bowen,SG,21,IND,3,0,10,1,4,.250,0,1,.000,1,3,.333,.250,0,0,NA,0,1,1,0,0,1,0,0,2
Ky Bowman,PG,22,GSW,24,6,564,84,185,.454,25,61,.410,59,124,.476,.522,19,20,.950,13,52,65,69,23,3,31,50,212
Avery Bradley,SG,29,LAL,10,10,274,41,84,.488,8,28,.286,33,56,.589,.536,6,8,.750,7,25,32,18,10,1,11,26,96
Tony Bradley,C,22,UTA,17,2,161,30,50,.600,0,0,NA,30,50,.600,.600,11,16,.688,24,36,60,4,2,8,8,28,71
Jarrell Brantley,PF,23,UTA,2,0,9,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,4,4,1,0,2,1,1,0
Ignas Brazdeikis,SF,21,NYK,6,0,42,5,19,.263,1,7,.143,4,12,.333,.289,3,4,.750,2,2,4,1,0,1,2,2,14
Mikal Bridges,SF,23,PHO,22,0,453,58,115,.504,11,37,.297,47,78,.603,.552,31,40,.775,17,60,77,22,29,6,17,40,158
Miles Bridges,SF,21,CHO,24,24,727,117,261,.448,38,104,.365,79,157,.503,.521,27,35,.771,34,94,128,44,11,18,39,49,299
Oshae Brissett,SF,21,TOR,4,0,17,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,NA,0,1,1,1,1,0,1,0,3
Ryan Broekhoff,SG,29,DAL,4,0,25,4,8,.500,4,5,.800,0,3,.000,.750,0,0,NA,0,5,5,3,1,0,1,1,12
Malcolm Brogdon,PG,27,IND,19,19,605,132,279,.473,28,81,.346,104,198,.525,.523,69,74,.932,12,81,93,147,17,4,55,39,361
Dillon Brooks,SG,24,MEM,22,22,601,105,268,.392,36,100,.360,69,168,.411,.459,42,53,.792,24,53,77,43,23,8,27,84,288
Bruce Brown,SG,23,DET,23,19,606,68,159,.428,13,37,.351,55,122,.451,.469,20,37,.541,18,78,96,84,21,12,41,63,169
Charlie Brown,SG,22,ATL,4,0,16,1,3,.333,1,1,1.000,0,2,.000,.500,4,4,1.000,2,1,3,0,0,1,0,0,7
Jaylen Brown,SF,23,BOS,18,18,602,135,272,.496,37,96,.385,98,176,.557,.564,53,73,.726,20,105,125,35,21,5,28,56,360
