Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bismack Biyombo,C,27,CHO,25,10,429,73,128,.570,0,0,NA,73,128,.570,.570,44,75,.587,46,74,120,20,6,18,15,51,190
Nemanja Bjelica,PF,31,SAC,24,23,631,109,227,.480,45,104,.433,64,123,.520,.579,16,17,.941,45,116,161,62,24,13,41,73,279
Eric Bledsoe,PG,30,MIL,25,25,676,144,302,.477,32,92,.348,112,210,.533,.530,59,74,.797,21,103,124,143,21,12,58,59,379
Bogdan Bogdanović,SG,27,SAC,22,0,606,112,273,.410,57,153,.373,55,120,.458,.515,34,50,.680,6,56,62,89,27,2,40,43,315
Bojan Bogdanović,SF,30,UTA,24,24,795,164,365,.449,74,167,.443,90,198,.455,.551,85,96,.885,16,89,105,49,17,4,68,47,487
Jonah Bolden,PF,24,PHI,2,0,5,1,1,1.000,0,0,NA,1,1,1.000,1.000,0,2,.000,0,0,0,0,1,0,1,0,2
Jordan Bone,PG,22,DET,3,0,6,2,5,.400,0,1,.000,2,4,.500,.400,0,0,NA,0,0,0,0,0,0,2,2,4
Isaac Bonga,SF,20,WAS,18,12,279,25,52,.481,4,15,.267,21,37,.568,.519,10,13,.769,12,32,44,24,12,4,10,38,64
Devin Booker,SG,23,PHO,24,24,861,213,420,.507,54,133,.406,159,287,.554,.571,121,134,.903,15,79,94,154,15,8,91,72,601
Chris Boucher,PF,27,TOR,21,0,249,41,91,.451,11,34,.324,30,57,.526,.511,20,29,.690,41,47,88,10,7,15,8,28,113
Brian Bowen,SG,21,IND,3,0,10,1,4,.250,0,1,.000,1,3,.333,.250,0,0,NA,0,1,1,0,0,1,0,0,2
Ky Bowman,PG,22,GSW,26,6,596,88,194,.454,27,65,.415,61,129,.473,.523,20,22,.909,13,56,69,70,23,3,31,55,223
Avery Bradley,SG,29,LAL,11,10,291,42,88,.477,8,29,.276,34,59,.576,.523,6,8,.750,7,27,34,18,10,1,11,28,98
Tony Bradley,C,22,UTA,18,2,164,33,54,.611,0,0,NA,33,54,.611,.611,11,16,.688,25,38,63,5,2,8,8,28,77
