Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bismack Biyombo,C,27,CHO,24,9,404,71,124,.573,0,0,NA,71,124,.573,.573,44,75,.587,42,72,114,19,6,17,15,47,186
Nemanja Bjelica,PF,31,SAC,23,22,609,105,219,.479,43,101,.426,62,118,.525,.578,16,17,.941,45,111,156,62,24,13,39,69,269
Eric Bledsoe,PG,30,MIL,24,24,650,134,289,.464,27,86,.314,107,203,.527,.510,55,70,.786,21,100,121,137,19,12,55,57,350
Bogdan Bogdanović,SG,27,SAC,21,0,576,105,261,.402,55,146,.377,50,115,.435,.508,33,46,.717,6,53,59,89,26,2,37,38,298
Bojan Bogdanović,SF,30,UTA,23,23,761,160,351,.456,72,159,.453,88,192,.458,.558,81,92,.880,16,86,102,46,17,4,62,45,473
Jonah Bolden,PF,24,PHI,2,0,5,1,1,1.000,0,0,NA,1,1,1.000,1.000,0,2,.000,0,0,0,0,1,0,1,0,2
Jordan Bone,PG,22,DET,3,0,6,2,5,.400,0,1,.000,2,4,.500,.400,0,0,NA,0,0,0,0,0,0,2,2,4
Isaac Bonga,SF,20,WAS,18,12,279,25,52,.481,4,15,.267,21,37,.568,.519,10,13,.769,12,32,44,24,12,4,10,38,64
Devin Booker,SG,23,PHO,23,23,822,207,403,.514,54,130,.415,153,273,.560,.581,118,130,.908,14,75,89,144,14,8,90,71,586
Chris Boucher,PF,27,TOR,20,0,240,39,86,.453,10,31,.323,29,55,.527,.512,20,29,.690,40,45,85,10,7,15,8,27,108
Brian Bowen,SG,21,IND,3,0,10,1,4,.250,0,1,.000,1,3,.333,.250,0,0,NA,0,1,1,0,0,1,0,0,2
Ky Bowman,PG,22,GSW,25,6,580,87,192,.453,27,64,.422,60,128,.469,.523,19,20,.950,13,56,69,70,23,3,31,54,220
Avery Bradley,SG,29,LAL,10,10,274,41,84,.488,8,28,.286,33,56,.589,.536,6,8,.750,7,25,32,18,10,1,11,26,96
Tony Bradley,C,22,UTA,18,2,164,33,54,.611,0,0,NA,33,54,.611,.611,11,16,.688,25,38,63,5,2,8,8,28,77
Jarrell Brantley,PF,23,UTA,2,0,9,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,4,4,1,0,2,1,1,0
Ignas Brazdeikis,SF,21,NYK,7,0,47,5,20,.250,1,8,.125,4,12,.333,.275,3,4,.750,2,3,5,2,0,1,2,3,14
Mikal Bridges,SF,23,PHO,23,0,485,61,122,.500,12,39,.308,49,83,.590,.549,33,42,.786,21,64,85,26,32,8,19,43,167
Miles Bridges,SF,21,CHO,26,26,803,130,289,.450,44,113,.389,86,176,.489,.526,31,40,.775,35,101,136,47,12,20,42,53,335
Oshae Brissett,SF,21,TOR,4,0,17,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,NA,0,1,1,1,1,0,1,0,3
Ryan Broekhoff,SG,29,DAL,4,0,25,4,8,.500,4,5,.800,0,3,.000,.750,0,0,NA,0,5,5,3,1,0,1,1,12
Malcolm Brogdon,PG,27,IND,20,20,635,139,294,.473,30,87,.345,109,207,.527,.524,73,78,.936,12,81,93,149,19,4,58,42,381
Dillon Brooks,SG,24,MEM,23,23,632,111,280,.396,39,107,.364,72,173,.416,.466,44,55,.800,24,56,80,45,25,8,28,87,305
Bruce Brown,SG,23,DET,24,20,632,71,167,.425,13,39,.333,58,128,.453,.464,22,39,.564,21,82,103,86,22,12,43,64,177
Charlie Brown,SG,22,ATL,4,0,16,1,3,.333,1,1,1.000,0,2,.000,.500,4,4,1.000,2,1,3,0,0,1,0,0,7
Jaylen Brown,SF,23,BOS,19,19,634,144,287,.502,38,101,.376,106,186,.570,.568,54,74,.730,20,112,132,37,21,7,31,61,380
Moses Brown,C,20,POR,4,0,15,3,7,.429,0,0,NA,3,7,.429,.429,2,4,.500,2,7,9,0,1,0,1,4,8
Sterling Brown,SF,24,MIL,16,0,264,32,76,.421,16,41,.390,16,35,.457,.526,10,15,.667,11,65,76,23,10,2,16,22,90
Troy Brown,SG,20,WAS,20,11,442,60,133,.451,9,36,.250,51,97,.526,.485,19,25,.760,27,77,104,44,28,3,20,30,148
