,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
36,DeAndre' Bembry,SG,25,ATL,23,4,588,71,145,0.49,9,36,0.25,62,109,0.569,0.521,18,37,0.486,25,80,105,63,33,11,35,51,169
37,Dragan Bender,SF,22,MIL,3,0,29,6,8,0.75,2,4,0.5,4,4,1.0,0.875,1,1,1.0,0,2,2,3,0,2,1,6,15
38,Dāvis Bertāns,PF,27,WAS,22,1,635,109,235,0.46399999999999997,84,186,0.452,25,49,0.51,0.643,26,30,0.867,20,79,99,35,14,13,14,55,328
39,Patrick Beverley,PG,31,LAC,23,23,688,65,164,0.396,31,98,0.316,34,66,0.515,0.491,14,23,0.609,32,115,147,75,34,12,34,87,175
40,Khem Birch,C,27,ORL,14,9,319,23,47,0.489,0,1,0.0,23,46,0.5,0.489,13,26,0.5,31,50,81,16,8,11,11,37,59
41,Goga Bitadze,C,20,IND,18,2,218,26,57,0.456,4,14,0.28600000000000003,22,43,0.512,0.491,14,19,0.737,16,36,52,14,1,19,10,33,70
42,Bismack Biyombo,C,27,CHO,23,8,381,67,118,0.568,0,0,0.0,67,118,0.568,0.568,39,69,0.565,37,62,99,19,6,17,15,44,173
43,Nemanja Bjelica,PF,31,SAC,23,22,609,105,219,0.479,43,101,0.426,62,118,0.525,0.578,16,17,0.941,45,111,156,62,24,13,39,69,269
44,Eric Bledsoe,PG,30,MIL,24,24,650,134,289,0.46399999999999997,27,86,0.314,107,203,0.527,0.51,55,70,0.7859999999999999,21,100,121,137,19,12,55,57,350
45,Bogdan Bogdanović,SG,27,SAC,21,0,576,105,261,0.402,55,146,0.377,50,115,0.435,0.508,33,46,0.7170000000000001,6,53,59,89,26,2,37,38,298
46,Bojan Bogdanović,SF,30,UTA,23,23,761,160,351,0.456,72,159,0.45299999999999996,88,192,0.45799999999999996,0.5579999999999999,81,92,0.88,16,86,102,46,17,4,62,45,473
47,Jonah Bolden,PF,24,PHI,2,0,5,1,1,1.0,0,0,0.0,1,1,1.0,1.0,0,2,0.0,0,0,0,0,1,0,1,0,2
48,Jordan Bone,PG,22,DET,3,0,6,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,0.0,0,0,0,0,0,0,2,2,4
49,Isaac Bonga,SF,20,WAS,17,11,264,25,49,0.51,4,13,0.308,21,36,0.583,0.551,10,13,0.769,11,32,43,23,11,3,9,35,64
50,Devin Booker,SG,23,PHO,23,23,822,207,403,0.514,54,130,0.415,153,273,0.56,0.581,118,130,0.9079999999999999,14,75,89,144,14,8,90,71,586
51,Chris Boucher,PF,27,TOR,20,0,240,39,86,0.45299999999999996,10,31,0.32299999999999995,29,55,0.527,0.512,20,29,0.69,40,45,85,10,7,15,8,27,108
52,Brian Bowen,SG,21,IND,3,0,10,1,4,0.25,0,1,0.0,1,3,0.33299999999999996,0.25,0,0,0.0,0,1,1,0,0,1,0,0,2
53,Ky Bowman,PG,22,GSW,25,6,580,87,192,0.45299999999999996,27,64,0.42200000000000004,60,128,0.469,0.523,19,20,0.95,13,56,69,70,23,3,31,54,220
54,Avery Bradley,SG,29,LAL,10,10,274,41,84,0.488,8,28,0.28600000000000003,33,56,0.589,0.536,6,8,0.75,7,25,32,18,10,1,11,26,96
55,Tony Bradley,C,22,UTA,18,2,164,33,54,0.611,0,0,0.0,33,54,0.611,0.611,11,16,0.688,25,38,63,5,2,8,8,28,77
56,Jarrell Brantley,PF,23,UTA,2,0,9,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,4,4,1,0,2,1,1,0
57,Ignas Brazdeikis,SF,21,NYK,6,0,42,5,19,0.263,1,7,0.14300000000000002,4,12,0.33299999999999996,0.289,3,4,0.75,2,2,4,1,0,1,2,2,14
58,Mikal Bridges,SF,23,PHO,23,0,485,61,122,0.5,12,39,0.308,49,83,0.59,0.5489999999999999,33,42,0.7859999999999999,21,64,85,26,32,8,19,43,167
59,Miles Bridges,SF,21,CHO,25,25,765,124,275,0.451,41,107,0.38299999999999995,83,168,0.494,0.525,30,38,0.789,35,99,134,44,12,18,41,50,319
60,Oshae Brissett,SF,21,TOR,4,0,17,1,3,0.33299999999999996,1,1,1.0,0,2,0.0,0.5,0,0,0.0,0,1,1,1,1,0,1,0,3
61,Ryan Broekhoff,SG,29,DAL,4,0,25,4,8,0.5,4,5,0.8,0,3,0.0,0.75,0,0,0.0,0,5,5,3,1,0,1,1,12
62,Malcolm Brogdon,PG,27,IND,20,20,635,139,294,0.473,30,87,0.345,109,207,0.527,0.524,73,78,0.9359999999999999,12,81,93,149,19,4,58,42,381
63,Dillon Brooks,SG,24,MEM,23,23,632,111,280,0.396,39,107,0.364,72,173,0.41600000000000004,0.466,44,55,0.8,24,56,80,45,25,8,28,87,305
64,Bruce Brown,SG,23,DET,24,20,632,71,167,0.425,13,39,0.33299999999999996,58,128,0.45299999999999996,0.46399999999999997,22,39,0.564,21,82,103,86,22,12,43,64,177
65,Charlie Brown,SG,22,ATL,4,0,16,1,3,0.33299999999999996,1,1,1.0,0,2,0.0,0.5,4,4,1.0,2,1,3,0,0,1,0,0,7
66,Jaylen Brown,SF,23,BOS,19,19,634,144,287,0.502,38,101,0.376,106,186,0.57,0.568,54,74,0.73,20,112,132,37,21,7,31,61,380
67,Moses Brown,C,20,POR,4,0,15,3,7,0.429,0,0,0.0,3,7,0.429,0.429,2,4,0.5,2,7,9,0,1,0,1,4,8
68,Sterling Brown,SF,24,MIL,16,0,264,32,76,0.42100000000000004,16,41,0.39,16,35,0.457,0.526,10,15,0.667,11,65,76,23,10,2,16,22,90
69,Troy Brown,SG,20,WAS,19,11,414,60,129,0.465,9,35,0.257,51,94,0.5429999999999999,0.5,15,21,0.7140000000000001,27,69,96,40,25,3,17,29,144
70,Jalen Brunson,PG,23,DAL,23,3,360,68,137,0.496,14,43,0.326,54,94,0.574,0.547,22,31,0.71,13,41,54,59,11,0,20,26,172
71,Thomas Bryant,C,22,WAS,18,18,511,101,184,0.5489999999999999,10,35,0.28600000000000003,91,149,0.611,0.5760000000000001,39,53,0.736,42,111,153,48,8,18,24,44,251
72,Trey Burke,PG,27,PHI,9,0,152,25,58,0.431,6,16,0.375,19,42,0.452,0.483,8,11,0.727,6,7,13,31,7,1,4,7,64
73,Alec Burks,SG,28,GSW,22,10,643,110,262,0.42,32,90,0.35600000000000004,78,172,0.45299999999999996,0.48100000000000004,80,90,0.889,15,84,99,65,24,6,32,48,332
74,Deonte Burton,SG,26,OKC,12,0,101,13,33,0.39399999999999996,5,17,0.294,8,16,0.5,0.47,3,4,0.75,3,18,21,4,1,1,4,11,34
75,Jimmy Butler,SF,30,MIA,19,19,660,111,257,0.43200000000000005,20,66,0.303,91,191,0.47600000000000003,0.47100000000000003,150,178,0.843,39,80,119,129,42,15,49,27,392
76,Bruno Caboclo,SF,24,MEM,15,0,160,26,59,0.441,4,20,0.2,22,39,0.564,0.475,2,3,0.667,14,21,35,8,7,11,7,17,58
77,Kentavious Caldwell-Pope,SG,26,LAL,24,14,576,72,160,0.45,27,71,0.38,45,89,0.506,0.534,20,24,0.833,11,40,51,42,18,4,20,40,191
78,Vlatko Čančar,SF,22,DEN,1,0,2,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
79,Clint Capela,C,25,HOU,19,19,620,122,189,0.6459999999999999,0,0,0.0,122,189,0.6459999999999999,0.6459999999999999,28,60,0.467,82,199,281,19,16,35,34,55,272
80,DeMarre Carroll,SF,33,SAS,11,0,120,7,25,0.28,3,12,0.25,4,13,0.308,0.34,10,14,0.7140000000000001,7,22,29,10,2,2,9,17,27
81,Jevon Carter,PG,24,PHO,16,2,225,22,55,0.4,14,34,0.41200000000000003,8,21,0.381,0.527,4,4,1.0,3,24,27,28,13,5,15,24,62
82,Vince Carter,SF,43,ATL,18,0,275,38,102,0.373,18,67,0.26899999999999996,20,35,0.5710000000000001,0.461,6,8,0.75,4,30,34,14,6,6,11,31,100
83,Wendell Carter,C,20,CHI,25,25,749,117,206,0.568,2,15,0.133,115,191,0.602,0.573,69,98,0.7040000000000001,88,157,245,24,18,20,38,103,305
84,Michael Carter-Williams,SG,28,ORL,13,0,197,18,57,0.316,3,19,0.158,15,38,0.395,0.342,19,23,0.826,14,28,42,22,12,6,13,19,58
85,Alex Caruso,PG,25,LAL,22,0,454,48,107,0.449,16,46,0.348,32,61,0.525,0.523,13,20,0.65,3,42,45,44,24,7,23,36,125
86,Willie Cauley-Stein,C,26,GSW,22,21,493,78,140,0.557,0,0,0.0,78,140,0.557,0.557,21,31,0.677,33,111,144,35,23,27,21,63,177
87,Tyson Chandler,C,37,HOU,18,4,163,13,17,0.765,0,0,0.0,13,17,0.765,0.765,5,9,0.556,19,30,49,6,5,7,6,24,31
88,Zylan Cheatham,SF,24,NOP,2,0,20,1,4,0.25,0,1,0.0,1,3,0.33299999999999996,0.25,0,0,0.0,0,3,3,1,0,0,1,3,2
89,Chris Chiozza,PG,24,WAS,8,0,91,5,23,0.217,3,6,0.5,2,17,0.11800000000000001,0.28300000000000003,0,0,0.0,0,9,9,24,7,2,7,8,13
90,Marquese Chriss,PF,22,GSW,24,1,425,61,129,0.473,4,19,0.21100000000000002,57,110,0.518,0.488,43,50,0.86,33,79,112,46,17,22,35,48,169
91,Gary Clark,PF,25,HOU,8,0,93,11,28,0.39299999999999996,8,23,0.348,3,5,0.6,0.536,2,2,1.0,6,14,20,5,1,3,1,9,32
92,Brandon Clarke,PF,23,MEM,18,2,381,92,146,0.63,10,22,0.455,82,124,0.6609999999999999,0.664,19,23,0.826,24,82,106,23,9,17,19,31,213
93,Jordan Clarkson,SG,27,CLE,23,0,510,104,250,0.41600000000000004,41,118,0.34700000000000003,63,132,0.47700000000000004,0.498,67,75,0.893,14,37,51,56,12,6,32,26,316
94,Nicolas Claxton,PF,20,BRK,9,0,119,11,21,0.524,0,5,0.0,11,16,0.688,0.524,5,12,0.41700000000000004,8,14,22,11,1,5,6,10,27
95,Chris Clemons,SG,22,HOU,16,0,134,24,59,0.40700000000000003,18,47,0.38299999999999995,6,12,0.5,0.5589999999999999,3,4,0.75,2,8,10,6,3,2,6,14,69
96,John Collins,PF,22,ATL,5,5,161,32,61,0.525,9,19,0.474,23,42,0.5479999999999999,0.598,12,17,0.706,10,34,44,8,5,10,7,17,85
97,Zach Collins,PF,22,POR,3,3,86,9,19,0.474,3,7,0.429,6,12,0.5,0.5529999999999999,6,6,1.0,4,8,12,6,0,2,6,11,27
98,Mike Conley,PG,32,UTA,21,21,628,97,263,0.369,40,107,0.374,57,156,0.365,0.445,58,73,0.795,16,57,73,96,15,4,44,45,292
99,Pat Connaughton,SG,27,MIL,22,0,393,47,96,0.49,18,54,0.33299999999999996,29,42,0.69,0.583,13,17,0.765,11,78,89,42,8,11,13,23,125
100,Quinn Cook,PG,26,LAL,20,0,267,42,98,0.429,12,35,0.34299999999999997,30,63,0.47600000000000003,0.49,4,5,0.8,4,19,23,30,6,1,16,12,100
101,Tyler Cook,PF,22,CLE,6,0,17,5,6,0.833,0,0,0.0,5,6,0.833,0.833,2,2,1.0,3,2,5,0,1,0,1,1,12
102,Robert Covington,PF,29,MIN,22,22,611,92,202,0.455,45,122,0.369,47,80,0.588,0.5670000000000001,46,51,0.902,17,99,116,24,29,19,34,66,275
103,Allen Crabbe,SG,27,ATL,11,1,212,24,62,0.387,11,38,0.289,13,24,0.542,0.47600000000000003,5,7,0.7140000000000001,5,24,29,10,7,2,5,10,64
104,Torrey Craig,SF,29,DEN,14,2,192,14,41,0.341,4,20,0.2,10,21,0.47600000000000003,0.39,4,9,0.444,9,26,35,15,5,11,5,27,36
105,Jae Crowder,SF,29,MEM,23,23,713,80,207,0.386,48,150,0.32,32,57,0.561,0.502,34,46,0.7390000000000001,16,121,137,62,22,8,32,48,242
106,Jarrett Culver,SG,20,MIN,23,13,543,83,216,0.384,23,87,0.264,60,129,0.465,0.43799999999999994,23,51,0.451,24,54,78,54,21,12,31,49,212
107,Seth Curry,SG,29,DAL,21,9,445,56,130,0.431,31,81,0.38299999999999995,25,49,0.51,0.55,29,31,0.935,8,32,40,34,12,4,16,38,172
108,Stephen Curry,PG,31,GSW,4,4,112,27,66,0.409,9,37,0.243,18,29,0.621,0.47700000000000004,18,18,1.0,4,16,20,26,5,2,15,10,81
109,Troy Daniels,SG,28,LAL,19,0,271,33,90,0.36700000000000005,23,68,0.33799999999999997,10,22,0.455,0.494,3,4,0.75,4,23,27,7,7,1,6,14,92
