Player,Control,Defense,Impact,Offense,Scoring
George Hill,3.8333333333333335,107.56018895530309,0.04567022177787717,140.76300019102723,0.593871643325314
Solomon Hill,2.1052631578947367,108.71615172933785,0.03002809838456232,104.87460691990954,0.44254506352350687
Jaylen Hoard,4.0,98.39135651619954,0.0016968870873500298,141.09816498611775,0.699744138789306
Aaron Holiday,2.033333333333333,110.56824404499481,0.032041944403670954,98.6553994530449,0.4139525713039094
Jrue Holiday,2.056338028169014,105.85258613422118,0.08094697423697982,104.13418478407132,0.4709228764387781
Justin Holiday,2.533333333333333,108.32268228087376,0.04129116546864814,113.27377319812986,0.45755311921263564
Rondae Hollis-Jefferson,1.15,110.71429086709001,0.031161066207006472,117.54643363427061,0.5641915776107356
Richaun Holmes,1.1428571428571428,109.30673833382592,0.07833009081445877,137.5963790658367,0.6654736514701246
Rodney Hood,1.6842105263157894,109.89664159805567,0.043440309436160764,121.24359456793262,0.5162626276536085
Al Horford,3.625,107.57318131799458,0.0734244444304071,118.819321628591,0.5332201345239915
Talen Horton-Tucker,2.0,117.54034256490272,0.0,57.18935381370589,0.25341682133043936
Danuel House,1.5,108.15657169953995,0.038424210036457775,126.07522536776635,0.5027052347729127
Dwight Howard,0.6923076923076923,104.42244670375682,0.03855480370649477,127.29536122933092,0.6375119830601255
Kevin Huerter,2.1176470588235294,110.48598201690922,0.022101414875332962,109.73505802733906,0.4514181752546646
De'Andre Hunter,1.0512820512820513,112.74984366217517,0.036835691458888264,96.60673104304318,0.41610074223291155
Chandler Hutchison,0.6666666666666666,106.5725224923475,0.012212051134940761,98.99645093911917,0.46722082927696307
Serge Ibaka,0.5172413793103449,108.46046086054369,0.02862854139159605,99.16629779896246,0.4515224577465471
Ersan İlyasova,2.1666666666666665,104.4257880991869,0.033343303510397035,128.81167796703744,0.5702717781956097
Joe Ingles,2.3658536585365852,109.18686860459583,0.04330798879136384,99.92139165424476,0.4125518858990373
Brandon Ingram,1.3620689655172413,106.38897959285256,0.09385320509434444,114.37178657564418,0.5090780609079416
Kyrie Irving,3.0384615384615383,109.69963327937995,0.05876752125535825,116.93340845188995,0.5093239835495736
Jonathan Isaac,0.8823529411764706,107.10632750341449,0.0612646814506978,103.21880439252507,0.4660336022080862
Wesley Iwundu,2.25,114.87048788770913,0.00730999040036735,94.84445533703132,0.4426129797477155
Frank Jackson,1.0476190476190477,110.08979997136079,0.014038356371168527,95.02377947990107,0.40881697962624014
Jaren Jackson,0.7380952380952381,109.83346366234002,0.04589846216955913,104.47395749278067,0.4549847486343708
Justin Jackson,2.25,112.34960437116278,0.024341272495764517,118.68115065841035,0.4989423399265309
Reggie Jackson,8.0,115.31507089517778,0.0027791370794859336,112.60874587803909,0.49264327190137935
Justin James,1.8,112.7092317494808,0.006626110401223099,87.45172822014457,0.40518712452118744
LeBron James,2.9101123595505616,108.00952715561482,0.13779964882698667,117.2064735159161,0.5355689810380208
Amile Jefferson,2.0,118.2064426405129,0.0018565054985059935,157.03177432131565,0.7533746160545857
DaQuan Jeffries,2.0,122.57519293193442,0.0005916170001092053,213.0562345507929,1.0
Ty Jerome,2.0,101.86401881156584,0.003959303077167912,88.56977357480731,0.3636329532588108
Alize Johnson,2.0,113.23486249316042,0.002642634589993482,120.2201385913882,0.5814334837245521
B.J. Johnson,0.0,123.2895440795608,0.0,0.0,0.0
